"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","bonus","responses"
"164","","image-keyboard-response","541","617171","0.0-541.0","","","","","img/set1/S2.jpg","83","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","542","617524","0.0-542.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","543","617727","0.0-543.0","","","","","","null","","","","","","","","",""
"131","","html-keyboard-response","544","617860","0.0-544.0","","","","","<p class=""center-content"">You have completed a block! </p><p class=""center-content"">Press any key on the keyboard to continue, </p><p class=""center-content"">or wait for the automatic progression to the next block after one minute.</p>","83","","","","","","","","",""
"33987","","instructions","545","651848","0.0-545.0","","","","[{""page_index"":0,""viewing_time"":33987}]","","","","","","","","","","",""
"2964","","instructions","546","654814","0.0-546.0","","","","[{""page_index"":0,""viewing_time"":2964}]","","","","","","","","","","",""
"2108.0000000001164","","image-keyboard-response","547","656924","0.0-547.0","","","","","img/set2/S1.jpg","83","1","structured_normal","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","548","657276","0.0-548.0","","","","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","549","657478","0.0-549.0","","","","","","null","","","","","","","","",""
"124","","image-keyboard-response","550","657603","0.0-550.0","","","","","img/set2/S1.jpg","83","1","structured_normal","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","551","657956","0.0-551.0","","","","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","552","658158","0.0-552.0","","","","","","null","","","","","","","","",""
"148","","image-keyboard-response","553","658307","0.0-553.0","","","","","img/set2/S2.jpg","83","2","structured_normal","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","554","658660","0.0-554.0","","","","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","555","658863","0.0-555.0","","","","","","null","","","","","","","","",""
"147","","image-keyboard-response","556","659011","0.0-556.0","","","","","img/set2/S3.jpg","83","3","structured_normal","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","557","659364","0.0-557.0","","","","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","558","659567","0.0-558.0","","","","","","null","","","","","","","","",""
"99.99999999988358","","image-keyboard-response","559","659667","0.0-559.0","","","","","img/set2/S2.jpg","83","2","structured_normal","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","560","660020","0.0-560.0","","","","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","561","660222","0.0-561.0","","","","","","null","","","","","","","","",""
"300","","image-keyboard-response","562","660523","0.0-562.0","","","","","img/set2/S3.jpg","83","3","structured_normal","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","563","660876","0.0-563.0","","","","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","564","661079","0.0-564.0","","","","","","null","","","","","","","","",""
"99","","image-keyboard-response","565","661179","0.0-565.0","","","","","img/set2/S1.jpg","83","1","structured_normal","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","566","661532","0.0-566.0","","","","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","567","661734","0.0-567.0","","","","","","null","","","","","","","","",""
"220","","image-keyboard-response","568","661955","0.0-568.0","","","","","img/set2/S2.jpg","83","2","structured_normal","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","569","662308","0.0-569.0","","","","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","570","662510","0.0-570.0","","","","","","null","","","","","","","","",""
"452","","image-keyboard-response","571","662963","0.0-571.0","","","","","img/set2/S4.jpg","83","4","structured_normal","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","572","663316","0.0-572.0","","","","","<img src=""img/set2/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","573","663518","0.0-573.0","","","","","","null","","","","","","","","",""
"19.999999999883585","","image-keyboard-response","574","663539","0.0-574.0","","","","","img/set2/S2.jpg","83","2","structured_normal","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","575","663892","0.0-575.0","","","","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","576","664094","0.0-576.0","","","","","","null","","","","","","","","",""
"36","","image-keyboard-response","577","664131","0.0-577.0","","","","","img/set2/S3.jpg","68","3","structured_normal","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","578","664484","0.0-578.0","","","","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","579","664687","0.0-579.0","","","","","","null","","","","","","","","",""
"395","","image-keyboard-response","580","665083","0.0-580.0","","","","","img/set2/S2.jpg","68","2","structured_normal","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","581","665436","0.0-581.0","","","","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","582","665639","0.0-582.0","","","","","","null","","","","","","","","",""
"147","","image-keyboard-response","583","665787","0.0-583.0","","","","","img/set2/S3.jpg","68","3","structured_normal","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","584","666140","0.0-584.0","","","","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","585","666343","0.0-585.0","","","","","","null","","","","","","","","",""
"67","","image-keyboard-response","586","666411","0.0-586.0","","","","","img/set2/S1.jpg","83","1","structured_normal","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","587","666764","0.0-587.0","","","","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","588","666967","0.0-588.0","","","","","","null","","","","","","","","",""
"11","","image-keyboard-response","589","666979","0.0-589.0","","","","","img/set2/S1.jpg","83","1","structured_normal","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","590","667332","0.0-590.0","","","","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","591","667534","0.0-591.0","","","","","","null","","","","","","","","",""
"140","","image-keyboard-response","592","667675","0.0-592.0","","","","","img/set2/S4.jpg","83","4","structured_normal","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","593","668027","0.0-593.0","","","","","<img src=""img/set2/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","594","668230","0.0-594.0","","","","","","null","","","","","","","","",""
"252","","image-keyboard-response","595","668483","0.0-595.0","","","","","img/set2/S2.jpg","83","2","structured_normal","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","596","668836","0.0-596.0","","","","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","597","669038","0.0-597.0","","","","","","null","","","","","","","","",""
"116","","image-keyboard-response","598","669155","0.0-598.0","","","","","img/set2/S3.jpg","83","3","structured_normal","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","599","669508","0.0-599.0","","","","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","600","669710","0.0-600.0","","","","","","null","","","","","","","","",""
"100","","image-keyboard-response","601","669811","0.0-601.0","","","","","img/set2/S1.jpg","83","1","structured_normal","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","602","670163","0.0-602.0","","","","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","603","670366","0.0-603.0","","","","","","null","","","","","","","","",""
"97","","image-keyboard-response","604","670464","0.0-604.0","","","","","img/set2/S4.jpg","83","4","structured_normal","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","605","670816","0.0-605.0","","","","","<img src=""img/set2/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","606","671018","0.0-606.0","","","","","","null","","","","","","","","",""
"135.99999999988358","","image-keyboard-response","607","671155","0.0-607.0","","","","","img/set2/S1.jpg","83","1","structured_normal","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","608","671508","0.0-608.0","","","","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","609","671710","0.0-609.0","","","","","","null","","","","","","","","",""
"35","","image-keyboard-response","610","671746","0.0-610.0","","","","","img/set2/S2.jpg","83","2","structured_normal","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
