"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","responses","question_order","bonus"
"null","","html-keyboard-response","512","3759435","0.0-512.0","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","513","3759637","0.0-513.0","","","null","","","","","","","","","",""
"614","","image-keyboard-response","514","3760254","0.0-514.0","","img/set2/S3.jpg","72","3","random","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","515","3760607","0.0-515.0","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","516","3760809","0.0-516.0","","","null","","","","","","","","","",""
"609.6999999992549","","image-keyboard-response","517","3761421","0.0-517.0","","img/set2/S3.jpg","72","3","random","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","518","3761776","0.0-518.0","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","519","3761978","0.0-519.0","","","null","","","","","","","","","",""
"496.30000000074506","","image-keyboard-response","520","3762477","0.0-520.0","","img/set2/S3.jpg","72","3","random","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","521","3762830","0.0-521.0","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","522","3763032","0.0-522.0","","","null","","","","","","","","","",""
"508","","image-keyboard-response","523","3763544","0.0-523.0","","img/set2/S3.jpg","72","3","random","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","524","3763897","0.0-524.0","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","525","3764099","0.0-525.0","","","null","","","","","","","","","",""
"698.5","","image-keyboard-response","526","3764802","0.0-526.0","","img/set2/S4.jpg","74","4","random","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","527","3765156","0.0-527.0","","<img src=""img/set2/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","528","3765358","0.0-528.0","","","null","","","","","","","","","",""
"659.3999999985099","","image-keyboard-response","529","3766019","0.0-529.0","","img/set2/S3.jpg","72","3","random","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","530","3766373","0.0-530.0","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","531","3766575","0.0-531.0","","","null","","","","","","","","","",""
"778.5","","image-keyboard-response","532","3767356","0.0-532.0","","img/set2/S2.jpg","68","2","random","68","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","533","3767710","0.0-533.0","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","534","3767912","0.0-534.0","","","null","","","","","","","","","",""
