"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","question_order","bonus"
"null","","html-keyboard-response","1340","699104","0.0-1340.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1341","699309","0.0-1341.0","","","null","","","","","","","","",""
"376.29999999701977","","image-keyboard-response","1342","699686","0.0-1342.0","","img/set4/S3.jpg","72","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1343","700050","0.0-1343.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1344","700254","0.0-1344.0","","","null","","","","","","","","",""
"491.20000000298023","","image-keyboard-response","1345","700746","0.0-1345.0","","img/set4/S2.jpg","68","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1346","701104","0.0-1346.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1347","701306","0.0-1347.0","","","null","","","","","","","","",""
"504.70000000298023","","image-keyboard-response","1348","701812","0.0-1348.0","","img/set4/S3.jpg","68","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","1349","702167","0.0-1349.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","1350","702381","0.0-1350.0","","","null","","","","","","","","",""
"563.1999999955297","","image-keyboard-response","1351","702945","0.0-1351.0","","img/set4/S2.jpg","68","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1352","703305","0.0-1352.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1353","703506","0.0-1353.0","","","null","","","","","","","","",""
"494.30000000447035","","image-keyboard-response","1354","704001","0.0-1354.0","","img/set4/S3.jpg","72","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1355","704363","0.0-1355.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1356","704570","0.0-1356.0","","","null","","","","","","","","",""
"536.3999999985099","","image-keyboard-response","1357","705108","0.0-1357.0","","img/set4/S2.jpg","68","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1358","705460","0.0-1358.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1359","705676","0.0-1359.0","","","null","","","","","","","","",""
"438.3999999985099","","image-keyboard-response","1360","706115","0.0-1360.0","","img/set4/S3.jpg","72","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1361","706473","0.0-1361.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1362","706675","0.0-1362.0","","","null","","","","","","","","",""
"449.79999999701977","","image-keyboard-response","1363","707126","0.0-1363.0","","img/set4/S1.jpg","83","1","structured_load","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1364","707489","0.0-1364.0","","<img src=""img/set4/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1365","707692","0.0-1365.0","","","null","","","","","","","","",""
"692.8999999985099","","image-keyboard-response","1366","708385","0.0-1366.0","","img/set4/S2.jpg","68","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1367","708736","0.0-1367.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1368","708939","0.0-1368.0","","","null","","","","","","","","",""
"528.3000000044703","","image-keyboard-response","1369","709468","0.0-1369.0","","img/set4/S3.jpg","72","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1370","709831","0.0-1370.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1371","710032","0.0-1371.0","","","null","","","","","","","","",""
"548","","image-keyboard-response","1372","710581","0.0-1372.0","","img/set4/S4.jpg","74","4","structured_load","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1373","710936","0.0-1373.0","","<img src=""img/set4/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1374","711152","0.0-1374.0","","","null","","","","","","","","",""
"730.1000000014901","","image-keyboard-response","1375","711883","0.0-1375.0","","img/set4/S2.jpg","68","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1376","712236","0.0-1376.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1377","712441","0.0-1377.0","","","null","","","","","","","","",""
"512.8000000044703","","image-keyboard-response","1378","712955","0.0-1378.0","","img/set4/S3.jpg","72","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1379","713316","0.0-1379.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1380","713519","0.0-1380.0","","","null","","","","","","","","",""
"639.7999999970198","","image-keyboard-response","1381","714159","0.0-1381.0","","img/set4/S2.jpg","68","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1382","714519","0.0-1382.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1383","714722","0.0-1383.0","","","null","","","","","","","","",""
"545.2000000029802","","image-keyboard-response","1384","715268","0.0-1384.0","","img/set4/S3.jpg","72","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1385","715631","0.0-1385.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1386","715836","0.0-1386.0","","","null","","","","","","","","",""
"421.59999999403954","","image-keyboard-response","1387","716258","0.0-1387.0","","img/set4/S2.jpg","68","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1388","716612","0.0-1388.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1389","716815","0.0-1389.0","","","null","","","","","","","","",""
"505.1000000014901","","image-keyboard-response","1390","717320","0.0-1390.0","","img/set4/S3.jpg","72","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1391","717679","0.0-1391.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1392","717885","0.0-1392.0","","","null","","","","","","","","",""
"454.6000000014901","","image-keyboard-response","1393","718340","0.0-1393.0","","img/set4/S4.jpg","74","4","structured_load","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1394","718701","0.0-1394.0","","<img src=""img/set4/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1395","718903","0.0-1395.0","","","null","","","","","","","","",""
"467.70000000298023","","image-keyboard-response","1396","719371","0.0-1396.0","","img/set4/S2.jpg","83","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","1397","719738","0.0-1397.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","1398","719942","0.0-1398.0","","","null","","","","","","","","",""
"728.7000000029802","","image-keyboard-response","1399","720672","0.0-1399.0","","img/set4/S3.jpg","72","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1400","721035","0.0-1400.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1401","721250","0.0-1401.0","","","null","","","","","","","","",""
