"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","bonus"
"null","","html-keyboard-response","170","325647","0.0-170.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","171","325848","0.0-171.0","","","null","","","","","","","",""
"971","","image-keyboard-response","172","326820","0.0-172.0","","img/set1/S4.jpg","68","4","random","74","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","false","",""
"null","","html-keyboard-response","173","327171","0.0-173.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","174","327373","0.0-174.0","","","null","","","","","","","",""
"675","","image-keyboard-response","175","328048","0.0-175.0","","img/set1/S3.jpg","68","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","false","",""
"null","","html-keyboard-response","176","328398","0.0-176.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","177","328599","0.0-177.0","","","null","","","","","","","",""
"657","","image-keyboard-response","178","329256","0.0-178.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","179","329607","0.0-179.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","180","329808","0.0-180.0","","","null","","","","","","","",""
"607","","image-keyboard-response","181","330417","0.0-181.0","","img/set1/S3.jpg","72","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","182","330769","0.0-182.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","183","330969","0.0-183.0","","","null","","","","","","","",""
"433","","image-keyboard-response","184","331403","0.0-184.0","","img/set1/S3.jpg","72","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","185","331755","0.0-185.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","186","331956","0.0-186.0","","","null","","","","","","","",""
"739","","image-keyboard-response","187","332695","0.0-187.0","","img/set1/S4.jpg","74","4","random","74","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","188","333046","0.0-188.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","189","333247","0.0-189.0","","","null","","","","","","","",""
"582","","image-keyboard-response","190","333829","0.0-190.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","191","334181","0.0-191.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","192","334383","0.0-192.0","","","null","","","","","","","",""
"618","","image-keyboard-response","193","335002","0.0-193.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
